//2016-04-06T09:46:05.000-03:00  | PTSTS | R$ 1.00 | 1 Pontos
2016-04-18 13:20:51 | RUAMASTER | R$ 20.00 | 40 Pontos
2016-04-16 09:19:40 | HUGOZERAHH | R$ 50.00 | 100 Pontos
2016-04-19 08:37:57 | janaina | R$ 20.00 | 40 Pontos
2016-04-19 11:36:35 | TESTANDO22 | R$ 150.00 | 450 Pontos
2016-04-19 11:37:32 | TESTANDO22 | R$ 150.00 | 450 Pontos
2016-04-19 15:18:27 | COMIDA | R$ 25.00 | 50 Pontos
2016-04-19 15:25:24 | COMIDA | R$ 25.00 | 50 Pontos
2016-04-19 15:51:01 | BHONYS | R$ 100.00 | 300 Pontos
2016-04-19 17:38:32 | YES8787 | R$ 20.00 | 40 Pontos
2016-04-19 22:25:43 | RUAMASTER | R$ 25.00 | 50 Pontos
2016-04-18 00:19:43 | COISINHA | R$ 30.00 | 60 Pontos
2016-04-19 12:50:40 | 335599 | R$ 15.00 | 15 Pontos
2016-04-19 16:48:32 | FRANGOLINO | R$ 50.00 | 100 Pontos
2016-04-20 12:53:18 | planethemp | R$ 10.00 | 10 Pontos
2016-04-20 13:58:59 | TESTANDO22 | R$ 150.00 | 450 Pontos
2016-04-20 19:14:54 | ALEXLOKO10 | R$ 40.00 | 80 Pontos
2016-04-20 19:41:37 | pally0 | R$ 15.00 | 15 Pontos
2016-04-19 23:29:13 | ALANCARLOS | R$ 10.00 | 10 Pontos
2016-04-19 22:46:43 | RUAMASTER | R$ 15.00 | 15 Pontos
2016-04-21 13:14:28 | PHILIPE1234 | R$ 50.00 | 100 Pontos
2016-04-21 14:41:29 | SLIMGAMES | R$ 50.00 | 100 Pontos
2016-04-21 18:10:14 | 632105 | R$ 30.00 | 60 Pontos
2016-04-21 18:58:32 | JOKA12 | R$ 40.00 | 80 Pontos
2016-04-21 19:10:21 | planethemp | R$ 10.00 | 10 Pontos
2016-04-21 19:29:18 | TARANTULA | R$ 30.00 | 60 Pontos
2016-04-21 21:35:27 | mizere | R$ 150.00 | 450 Pontos
2016-04-22 11:46:07 | 742782199610 | R$ 50.00 | 100 Pontos
2016-04-22 16:41:42 | shimanske | R$ 20.00 | 20 Pontos
2016-04-22 19:04:30 | 4074728WA | R$ 30.00 | 60 Pontos
2016-04-22 19:45:43 | janaina | R$ 30.00 | 60 Pontos
2016-04-22 20:27:03 | THOMAZ123 | R$ 45.00 | 90 Pontos
2016-04-22 17:19:54 | JOAO32310303 | R$ 70.00 | 140 Pontos
2016-04-22 12:00:19 | levy445562 | R$ 10.00 | 10 Pontos
2016-04-23 13:27:41 | CASTILIN | R$ 20.00 | 20 Pontos
2016-04-23 15:56:42 | 88170766 | R$ 50.00 | 100 Pontos
2016-04-23 17:17:54 | SLIMGAMES | R$ 35.00 | 70 Pontos
2016-04-24 00:15:30 | LOUZAN | R$ 40.00 | 80 Pontos
2016-04-24 08:56:59 | 742782199610 | R$ 30.00 | 60 Pontos
2016-04-24 09:48:02 | janaina | R$ 10.00 | 10 Pontos
2016-04-24 15:34:07 | Z8210717 | R$ 35.00 | 70 Pontos
2016-04-24 23:04:56 | 7FO8YHFV | R$ 10.00 | 10 Pontos
2016-04-25 08:15:09 | 7FO8YHFV | R$ 10.00 | 10 Pontos
2016-04-25 08:19:14 | 7FO8YHFV | R$ 30.00 | 60 Pontos
2016-04-25 08:23:28 | 7FO8YHFV | R$ 30.00 | 60 Pontos
2016-04-25 08:36:28 | 7FO8YHFV | R$ 30.00 | 60 Pontos
2016-04-25 16:15:03 | E7849665 | R$ 50.00 | 100 Pontos
2016-04-25 17:45:27 | ratasana | R$ 15.00 | 15 Pontos
2016-04-25 19:46:31 | CASTILIN | R$ 30.00 | 60 Pontos
2016-04-25 21:50:16 | 742782199610 | R$ 50.00 | 100 Pontos
2016-04-25 23:28:16 | 96854289 | R$ 150.00 | 450 Pontos
2016-04-26 00:25:15 | 5401068 | R$ 30.00 | 60 Pontos
2016-04-25 12:08:50 | 85992426 | R$ 15.00 | 15 Pontos
2016-04-25 16:35:52 | judson | R$ 30.00 | 60 Pontos
2016-04-25 13:25:40 | levy445562 | R$ 15.00 | 15 Pontos
2016-04-25 13:16:38 | lulupupu | R$ 30.00 | 60 Pontos
2016-04-26 14:26:24 | KIBERA | R$ 30.00 | 60 Pontos
2016-04-26 15:30:18 | 8680 | R$ 30.00 | 60 Pontos
2016-04-26 16:53:26 | MICAELA1 | R$ 30.00 | 60 Pontos
2016-04-26 17:56:02 | 369858LEO | R$ 40.00 | 80 Pontos
2016-04-26 19:26:29 | 632105 | R$ 35.00 | 70 Pontos
2016-04-26 19:23:46 | 203065 | R$ 70.00 | 140 Pontos
2016-04-26 21:43:42 | vitorioo | R$ 30.00 | 60 Pontos
2016-04-26 23:03:02 | 2467492 | R$ 150.00 | 450 Pontos
